feature_name,feature_class,prim_lat_dec,prim_long_dec
Boulder Peak,Summit,38.4476661,-119.6877463
Bowman Gulch,Valley,37.9532031,-120.550062
Box Spring,Spring,38.1298028,-119.9054482
Brainerd Lake,Lake,37.09064,-118.4574703
Branford Mountain,Summit,36.9515929,-119.2908152
Branigan Lake,Lake,38.0301152,-119.6877129
Braly Peaks,Summit,38.2515978,-118.9211693
Brewer Creek,Stream,36.6999389,-118.5606527
Mount Brewer,Summit,36.7083193,-118.4852329
Brown Lake,Lake,37.1696227,-118.5429773
Brush Canyon,Valley,36.850015,-118.8532917
Brush Creek,Stream,39.2712952,-120.2065857
Brushy Hollow Creek,Stream,38.2371383,-120.0432413
Bryant Creek,Stream,38.5382423,-119.6565623
Bubbs Creek,Stream,36.7893825,-118.5509319
Buck Canyon,Valley,36.5495429,-119.0135867
Buck Island Lake,Reservoir,39.0020784,-120.2523828
Buck Peak,Summit,36.803504,-118.558037
Buck Point,Summit,37.485023,-120.0777253
Buck Rock Creek,Stream,36.7527224,-118.8228809
Buck Springs,Spring,38.279621,-119.4004449
Buckeye Creek,Stream,36.5971707,-119.1053874
Buckeye Creek,Stream,37.4227175,-119.9882276
Buckeye Creek,Stream,38.2771414,-119.2548779
Buckeye Hill,Summit,37.3296819,-119.9499833
Buckeye Hot Spring,Spring,38.2392022,-119.3250035
Buckhorn Mountain,Summit,37.9588765,-120.2754774
Buckskin Creek,Stream,39.100184,-120.31214
Buckskin Joe Spring,Spring,38.626762,-120.298791
Bugle Lake,Lake,39.0223555,-120.3248633
Bull Canyon,Valley,38.4534505,-119.5996963
Bull Canyon,Valley,38.5175925,-119.7285713
Bull Creek,Stream,38.301584,-119.3621051
Bull Run,Stream,37.3804963,-120.0543402
Bull Run Creek,Stream,38.437411,-119.8982372
Bull Run Lake,Lake,38.4807927,-119.9145654
Bull Run Peak,Summit,38.4754103,-119.8920929
Bumblebee Creek,Stream,38.2354715,-120.0176849
Bummerville,Populated Place,38.4013007,-120.5057585
Burnt Corral Creek,Stream,37.1341088,-118.90289
Burnt Mountain,Summit,36.9723081,-118.7285939
Burnt Point,Summit,36.5829025,-118.911212
Burrough Valley,Basin,36.9752269,-119.3670716
Burton Pass,Gap,36.7538339,-118.8512153
Bush Mountain,Summit,38.3228153,-119.3941444
Butcher Knife Pocket,Valley,37.7329607,-120.4134448
Buttonwillow Peak,Summit,36.6486406,-119.163391
Buzzard Canyon,Valley,37.1498124,-119.856118
Buzzard Roost,Summit,36.5822881,-119.0422759
Buzzard Roost,Summit,39.3713536,-120.4288044
Buzzard Roost Lake,Lake,39.3791728,-120.4077021
By-Day Creek,Stream,38.2646411,-119.2948798
Cabin Creek,Stream,36.9566106,-118.9070531
Cabin Creek,Stream,39.2776841,-120.2060303
California Creek,Stream,38.6824078,-119.5462797
Camp Meeting Gulch,Valley,37.9156401,-120.3766172
Campbell Mountain,Summit,36.6956062,-119.4213062
Cantua Creek,Populated Place,36.50134,-120.3162666
Canzatti Spring,Spring,38.4424211,-120.5284953
Cardoza Lake,Lake,37.6459331,-120.4562495
Cary Canyon,Valley,38.7737961,-119.8246636
Cary Peak,Summit,38.7792111,-119.8483926
Cascade Lake,Lake,37.9898539,-119.3065658
Cascade Lakes,Reservoir,39.3000095,-120.4300188
Casnau Creek,Stream,37.8754825,-120.5204765
